NCAA NAME,TFRRS NAME
Abilene Christian University,Abilene Christian
Academy of Art University,Academy of Art
Adams State University,Adams State
Adelphi University,Adelphi
Adrian College,Adrian
Agnes Scott College,Agnes Scott
Alabama A&M University,Alabama A&M
Alabama State University,Alabama State
Albany State University (Georgia),Albany State
Albertus Magnus College,!NONE
Albion College,Albion
Albright College,Albright
Alcorn State University,Alcorn State
Alderson Broaddus University,Alderson Broaddus
Alfred State College,Alfred State
Alfred University,Alfred
Allegheny College,Allegheny
Allen University,Allen
Alliance University,Alliance
Alma College,Alma
Alvernia University,Alvernia
Alverno College,Alverno
American International College,American Int'l
American University,American
Amherst College,Amherst
Anderson University (Indiana),Anderson (Ind.)
Anderson University (South Carolina),Anderson (S.C.)
Angelo State University,Angelo State
Anna Maria College,Anna Maria
Appalachian State University,Appalachian State
Arcadia University,Arcadia
Arizona State University,Arizona State
Arkansas State University,Arkansas State
Arkansas Tech University,Arkansas Tech
Asbury University,Asbury
Ashland University,Ashland
Assumption University,Assumption
Auburn University,Auburn
Auburn University at Montgomery,Auburn Montgomery
Augsburg University,Augsburg
Augusta University,Augusta
Augustana College (Illinois),Augustana (Ill.)
Augustana University (South Dakota),Augustana (S.D.)
Aurora University,Aurora
Austin College,Austin College
Austin Peay State University,Austin Peay
Averett University,Averett
Azusa Pacific University,Azusa Pacific
Babson College,Babson
Baldwin Wallace University,Baldwin Wallace
Ball State University,Ball State
Bard College,Bard
Barry University,!NONE
Barton College,Barton
Baruch College,Baruch
Bates College,Bates
Baylor University,Baylor
Belhaven University,Belhaven
Bellarmine University,Bellarmine
Belmont Abbey College,Belmont Abbey
Belmont University,Belmont
Beloit College,Beloit
Bemidji State University,Bemidji State
Benedict College,Benedict
Benedictine University (Illinois),Benedictine (Ill.)
Bentley University,Bentley
Berea College,Berea
Berry College,Berry
Bethany College (West Virginia),Bethany (W.V.)
Bethany Lutheran College,Bethany Lutheran
Bethel University (Minnesota),Bethel (Minn.)
Bethune-Cookman University,Bethune-Cookman
Binghamton University,Binghamton
Biola University,Biola
Birmingham-Southern College,Birmingham-Southern
Black Hills State University,Black Hills St.
Blackburn College,Blackburn
Bloomfield College,Bloomfield
Bloomsburg University of Pennsylvania,Bloomsburg
Bluefield State University,Bluefield St.
Bluffton University,Bluffton
Bob Jones University,Bob Jones
Boise State University,Boise State
Boston College,Boston College
Boston University,Boston University
Bowdoin College,Bowdoin
Bowie State University,Bowie State
Bowling Green State University,Bowling Green
Bradley University,Bradley
Brandeis University,Brandeis
Brevard College,Brevard
Bridgewater College (Virginia),Bridgewater (Va.)
Bridgewater State University,Bridgewater St.
Brigham Young University,BYU
Brooklyn College,Brooklyn
Brown University,Brown
Bryant University,Bryant
Bryn Athyn College,Bryn Athyn
Bryn Mawr College,Bryn Mawr
Bucknell University,Bucknell
Buena Vista University,Buena Vista
"Buffalo State, State University of New York",Buffalo State
Butler University,Butler
Cabrini University,Cabrini
Cairn University,Cairn
Caldwell University,Caldwell
California Baptist University,CBU
California Institute of Technology,Caltech
California Lutheran University,Cal Lutheran
California Polytechnic State University,Cal Poly
"California State Polytechnic University, Humboldt",Cal Poly Humboldt
"California State Polytechnic University, Pomona",Cal Poly Pomona
"California State University, Bakersfield",CSU Bakersfield
"California State University, Chico",Chico State
"California State University, Dominguez Hills",Cal St. Dom. Hills
"California State University, East Bay",Cal St. East Bay
"California State University, Fresno",Fresno State
"California State University, Fullerton",Cal St. Fullerton
"California State University, Los Angeles",Cal St. Los Angeles
"California State University, Monterey Bay",Cal St. Monterey Bay
"California State University, Northridge",CSUN
"California State University, Sacramento",Sacramento St.
"California State University, San Bernardino",CSUSB
"California State University, San Marcos",Cal St. San Marcos
"California State University, Stanislaus",Stanislaus State
Calvin University,Calvin
Cameron University,Cameron
Campbell University,Campbell
Canisius College,Canisius
Capital University,Capital
Carleton College,Carleton
Carnegie Mellon University,Carnegie Mellon
Carroll University (Wisconsin),Carroll (Wis.)
Carson-Newman University,Carson-Newman
Carthage College,Carthage
Case Western Reserve University,Case Western
Castleton University,Castleton
Catawba College,Catawba
Catholic University,Catholic
Cazenovia College,Cazenovia
Cedar Crest College,Cedar Crest
Cedarville University,Cedarville
Centenary College (Louisiana),Centenary (La.)
Centenary University (New Jersey),Centenary (N.J.)
Central College (Iowa),Central College
Central Connecticut State University,Central Connecticut
Central Michigan University,Central Michigan
Central State University,Central State
Central Washington University,Central Washington
Centre College,Centre
Chadron State College,Chadron State
Chaminade University,Chaminade
Chapman University,Chapman
Charleston Southern University,Charleston Southern
Chatham University,Chatham
Chestnut Hill College,Chestnut Hill
Chicago State University,Chicago State
Chowan University,Chowan
Christian Brothers University,Christian Bros.
Christopher Newport University,Christopher Newport
Claflin University,Claflin
Claremont McKenna-Harvey Mudd-Scripps Colleges,Claremont-Mudd-Scripps
Clark Atlanta University,Clark Atlanta
Clark University (Massachusetts),Clarke
Clarks Summit University,Clarks Summit
Clarkson University,Clarkson University
Clayton State University,Clayton State
Clemson University,Clemson
Cleveland State University,Cleveland St.
Coastal Carolina University,Coastal Carolina
Coe College,Coe
Coker University,Coker
Colby College,Colby
Colby-Sawyer College,Colby-Sawyer
Colgate University,Colgate
College of Charleston (South Carolina),Col. of Charleston
College of Mount Saint Vincent,Mt. St. Vincent
College of Saint Benedict,St. Benedict
College of Staten Island,Staten Island
College of the Holy Cross,Holy Cross
Colorado Christian University,Colo. Christian
Colorado College,Colorado College
Colorado Mesa University,Colorado Mesa
Colorado School of Mines,Colo. Sch. of Mines
Colorado State University,Colorado St.
Colorado State University Pueblo,CSU-Pueblo
Columbia University-Barnard College,Columbia
Columbus State University,Columbus St.
Concord University,Concord
"Concordia College, Moorhead",Concordia-Moorhead
Concordia University Chicago,Concordia Univ. Chicago
Concordia University Irvine,CUI
Concordia University Texas,Concordia (Tex.)
Concordia University Wisconsin,Concordia (Wis.)
"Concordia University, St. Paul",Concordia-St. Paul
Connecticut College,Connecticut College
Converse University,Converse
Coppin State University,Coppin State
Cornell College,Cornell College
Cornell University,Cornell
Covenant College,Covenant
Creighton University,Creighton
Crown College (Minnesota),Crown
Curry College,Curry
D'Youville University,D'Youville
Daemen University,Daemen
Dallas Baptist University,Dallas Baptist
Dartmouth College,Dartmouth
Davenport University,Davenport
Davidson College,Davidson
Davis & Elkins College,Davis & Elkins
DePaul University,DePaul
DePauw University,DePauw
DeSales University,DeSales
Dean College,Dean (Mass.)
Defiance College,Defiance
Delaware State University,Delaware State
Delaware Valley University,Delaware Valley
Delta State University,Delta St.
Denison University,Denison
Dickinson College,Dickinson
Dominican University (Illinois),Dominican (Ill.)
Dominican University New York,Dominican (N.Y.)
Dominican University of California,Dominican (Cal.)
Drake University,Drake
Drew University,Drew
Drexel University,!NONE
Drury University,Drury
Duke University,Duke
Duquesne University,Duquesne
Earlham College,Earlham
East Carolina University,East Carolina
East Central University,East Central
East Stroudsburg University of Pennsylvania,East Stroudsburg
East Tennessee State University,East Tenn. St.
East Texas Baptist University,East Texas Baptist
Eastern Connecticut State University,Eastern Conn. St.
Eastern Illinois University,Eastern Illinois
Eastern Kentucky University,Eastern Kentucky
Eastern Mennonite University,Eastern Mennonite
Eastern Michigan University,Eastern Michigan
Eastern Nazarene College,Eastern Nazarene
Eastern New Mexico University,Eastern New Mexico
Eastern University,Eastern
Eastern Washington University,Eastern Washington
Eckerd College,Eckerd
Edgewood College,Edgewood
Edward Waters University,Edward Waters
Elizabeth City State University,Elizabeth City St.
Elizabethtown College,Elizabethtown
